Source,Verb,PreContext,Target,PostContext,Embedding,Conjunction_inf,MatTense,MatPers,MatNum,MatAspect,SubTense,SubPers,SubNum,SubAspect,Rating1,Rating2,Rating3,Comment
RNC,воображать,"Этот внимательный взгляд Музы так же конкретен, как все взгляды и взоры ее стихов, например, того же Блока: Как хозяин молчаливый Ясно смотрит на меня! Она любила повторять, что прохожие на улице, завидев Данте, шептали друг другу: «Вот человек, который побывал там».","Строкою «Внимательно взглянула на меня» описание прихода Музы выводилось из сферы воображения, так же как современники Данте не воображали, что он был там, а были в этом уверены.","В год возвращения из эвакуации и встречи с искалеченным Ленинградом, отметив 55-й день рождения, Ахматова написала стихотворение из разряда «последних», то есть тех, которые претендуют стать завершающими творчество поэта ― не «Я помню чудное мгновенье», а «Брожу ли я вдоль улиц шумных»: то, что называется «о жизни и смерти». Наше священное ремесло Существует тысячи лет… С ним и без света миру светло.",negation,что,past,-,plural,ipf,past,-,singular,ipf,3,3,3,
RNC,воображать,"Мне стало очень обидно, потому что всегда она со своими разноцветными глазами первая. Я даже хотела уйти, но передумала. Во-первых, не так уж часто приходится выступать по радио, а во-вторых, я всё равно лучше Люськи поздравлю свою маму.","Пусть не воображает, что у неё разноцветные глаза!","Мы сели на лавочку. Корреспондент открыл свой чемоданчик, в нём оказался магнитофон. ― Вот сейчас я нажму на кнопку, ― сказал корреспондент, ― и ты расскажешь нам о своей маме.",negation,что,present,third,singular,ipf,,,,,-3,-3,-3,"императив с пусть, нулевой глагол-связка"
RNC,воображать,"И «Ладу» и «Русское поле». А зато я её арию Ленского научила петь. А арию Ленского в сто раз интересней петь, чем «Русское поле»!","И пусть не воображает, что лучше всех поёт.","Подумаешь, певица нашлась! Она потянулась. ― Вчера Сергей Фёдорович приехал, ― сказала она всё так же громко.",negation,что,present,third,singular,ipf,present,third,singular,pf,-3,-3,-3,императив с пусть
RNC,воображать,"Кама, запаянная сумерками, стала таинственной, в воде дрожали звезды, река смягчала их пронзительный блеск. Затяжелевшие мглою вершины деревьев, трава, полегшая от росы, небо с отблеском зелени существовали для Евы потому, что существовал Азин. Он накинул на ее плечи кожаную куртку и с любовью вглядывался в лицо, смутное, потерявшее свои строгие очертания.","Впервые любовь вошла в его сердце, и он даже не воображал, что чувство любви было таким болезенно-счастливым, все время изменяющимся, необъяснимым в своих изменениях.","Он поцеловал ее темные, продутые ночным холодком волосы, шею, онемевшую от напряжения, стал повторять глупые, однообразные, но полные значения слова: ― Я тебя люблю. Так люблю, что не могу и сказать, как…",negation,что,past,-,singular,ipf,past,-,singular,ipf,-2,3,3,
RNC,воображать,"Чойо Чагас милостиво кивнул, некоторое время он молча смотрел на Родис, а потом, не сказав ни слова, внезапно исчез с экрана. Она возвратилась к Чеди, уже сидевшей в подушках и без колпака. И Чеди и Эвиза наслаждались водой и пищей Земли, жмурясь от удовольствия.","― Не воображала, что консервированная земная еда в действительности так вкусна, ― сказала Чеди.","― После тормансианской, ― сказала Родис, погружая пальцы в густые волосы девушки, вновь принявшие свой естественный пепельно-золотистый цвет. Освобожденные от контактных линз глаза сияли прежней синевой. ― Удивляюсь, ― Чеди привстала на локте, но Эвиза мгновенно водворила ее на место, ― как могут они травить себя, своих детей, губить свое будущее, фальсифицируя и удешевляя пищу так, что она становится отравой?",negation,что,past,-,singular,ipf,,,,,3,3,3,нулевой глагол-связка
RNC,воображать,"Я был бы плутом, кабы сказал (а читатель ― глупцом, кабы поверил), что потрясение, которое я испытал, потеряв Лолиту, навсегда меня излечило от страсти к малолетним девочкам. Лолиту я теперь полюбил другой любовью, это правда, ― но проклятая природа моя от этого не может измениться. На площадках для игр, на морских и озерных побережьях мой угрюмый, воровской взгляд искал поневоле, не мелькнут ли голые ноги нимфетки или другие заветные приметы Лолитиных прислужниц и наперсниц с букетами роз.","Но одно основное видение выцвело: никогда я теперь не мечтал о возможном счастье с девочкой (обособленной или обобщенной) в каком-нибудь диком и безопасном месте; никогда не воображал я, что буду впиваться в нежную плоть Лолитиных сестричек где-нибудь далеко-далеко, в песчаном убежище между скал пригрезившихся островов.","Это кончилось ― или кончилось, по крайней мере, на некоторое время. С другой же стороны… увы, два года чудовищного потворства похоти приучили меня к известному укладу половой жизни. Я боялся, как бы пустота, в которой я очутился, не заставила бы меня воспользоваться свободой внезапного безумия и поддаться случайному соблазну при встрече в каком-нибудь проулке с возвращающейся домой школьницей.",negation,что,past,-,singular,ipf,future,first,singular,pf,-2,-3,-3,
RNC,воображать,"Если, конечно, вести себя благообразно и сказать хорошие исторические слова. Загрохотали где-то засовы. Мартин побледнел.","― Никогда, никогда, ― сказал он, ― не воображал, что я историческая личность, не было во мне такого самомнения.","А сейчас с каждой минутой проникаюсь сознанием своей историчности. Чем меньше остается минут, тем тверже осознаю, что про санитара Мартина напишут во всех учебниках. В коридоре гремели шаги, кто-то приближался, железно обутый.",negation,что,past,-,singular,ipf,,,,,-3,-3,-3,нулевой глагол-связка
RNC,воображать,"― Ты что, папа, завещание, что ли, писать собираешься? Он молча положил лист на колено, согнутое под одеялом, и размашисто крупными буквами вывел: «Я ― Борис Мариенгоф ― жил в ХХ веке.","И никогда не воображал, что мой век цивилизованный.","Чепуха! Еще самый дикий-предикий». И протянул мне записку, делово проставив день, число, месяц, год, город, улицу и номер дома.",negation,что,past,-,singular,ipf,,,,,-3,-3,-3,нулевой глагол-связка
RNC,воображать,"Но что же Павел Петрович думал о плесени, которая во все времена и у всех народов внушала лишь отвращение? Он думал ― это я помнила ясно, ― что в обыкновенной зеленой плесени содержатся какие-то целебные силы. А что, если поставить опыт в моей маленькой лаборатории? …","На этот раз я не воображала, что вижу сон, не мчалась ночью с пробирками в кастрюльке к доктору Дроздову ― он как раз был в зерносовхозе, ― не сидела до утра, боясь, что пробирки погаснут.","Я села писать статью, и горы исписанной и разорванной бумаги появились в моей комнате на столе, под столом, на окне, на кровати. Каждая фраза в отдельности еще выходила кое-как сама по себе, но соединять их… это была тяжелая, почти физическая работа! И когда эта статья, каждая страница которой написана не чернилами, а, можно сказать, кровью, была наконец закончена, я разорвала ее, потому что мне пришло в голову попробовать «передать» свечение от холероподобного к настоящему холерному вибриону…",negation,что,present,first,singular,ipf,present,first,singular,ipf,-2,-3,-3,
RNC,воображать,"А главное я за эти три года кое-чему научился. У меня не было заносчивости тех «детей», которые себя противополагали «отцам», обвиняя их в «отсталости» или «трусости». Я не считал молодое поколение руководителем общества.","Не воображал, что организация землячеств в России есть решительный шаг к государственному самоуправлению, да еще в международном масштабе.","Нам стало понятнее настоящее положение старших и мы с сочувствием следили за тем, как они работали в настоящих условиях, стараясь отстаивать то, что было добыто в 60-х годах. Для них смена еще не явилась. У меня лично начиналась новая полоса жизни, переход от «студенчества» в «общество».",negation,что,past,-,singular,ipf,-,-,-,ipf,-2,-3,-3,
RNC,воображать,"Этот ворчливый клерк какой-то шотландской фирмы бранил слугу и проклинал офицера-моряка, занявшего вместе с управляющим «Северобританской компании» два последних свободных места в дилижансе. ― Ни одного дня не останусь больше в вашем вертепе! ― негодовал старик. ― Я немедленно покину это блудилище, где хозяин-безбожник нарочно устраивает все так, чтобы жилец не мог вовремя уехать!","Пусть он не воображает, что, продержав меня здесь лишние сутки, он выманит еще денег за постой!","― Хэллоу, мистер Стейболд! ― крикнул полковник, которому надоела брань за стеной. ― Что привело вас в такое негодование? Зайдите ко мне и остудите свою злость глотком недурного хереса!",negation,что,present,third,singular,ipf,future,third,singular,pf,-3,-3,-3,императив с пусть
RNC,воображать,"Позволяем себе выразить надежду, что ваша светлость соизволит милостиво принять в Бультоне, где мы открываем филиал нашей конторы, нашего внука и внучатого племянника, которые сочтут для себя высокой честью и удовольствием лично засвидетельствовать вашей светлости свое уважение и преданность. Готовые всегда к услугам вашей светлости Заломон Ноэль-Абрагамс, Мохандас Сами Маджарами». ― Значит, внуки этих индийских дельцов должны пожаловать к нам в Бультон и открыть филиал конторы?","Уж не воображают ли они, что я стану ловить простачков для их лавчонки?","― Не горячись, папа. Ради бога, не горячись! Это послание такое смешное, смиренное и почтительное!",question,что,present,third,plural,ipf,future,first,singular,pf,-3,-3,-3,
RNC,воображать,"В их деле она появляется у тех, кто знает нечто, неизвестное собеседнику. А что может знать эта девчонка, что не было бы известно ему?.. Это он мог бы чувствовать превосходство над нею: он знает, что как только Инга выполнит свою миссию, её ждёт пуля в спину; он знает, что конечная цель её работы не имеет ничего общего с интересами Латвии, именем которой её посылают на дело…","Уж не воображает ли эта девка, будто ей суждено жить и любить своего Силса, такого же обречённого смерти, как она сама?..","Или она так глупа при всём своём уме?.. И тем не менее спокойствие, с которым Инга стояла напротив него, поражало его: черт её знает, что у неё на уме?! Ему хотелось подержать в руке маленькую кисть с тонкими пальцами, на которых алели тщательно отделанные ногти, хотелось прикоснуться к нежной розовой коже.",question,будто,present,third,singular,ipf,,,,,-3,-3,-3,нулевой глагол-связка
